Graph,Method,Clusters,Std_φ,Norm_φ,Time(s),Status
Two Cliques,baseline,8,0.9423,3.9167,0.004,✅
Two Cliques,k5,3,0.4454,1.8444,0.008,✅
Two Cliques,k10,2,0.0476,0.2000,0.005,✅
Two Cliques,k15,2,0.0476,0.2000,0.005,✅
Path 10,baseline,7,0.8776,1.6071,0.002,✅
Path 10,k5,3,0.3333,0.4444,0.005,✅
Path 10,k10,3,0.2167,0.3889,0.005,✅
Path 10,k15,3,0.2167,0.3889,0.005,✅
Path 100,baseline,62,0.8523,1.6882,0.004,✅
Path 100,k5,30,0.3211,0.6311,0.018,✅
Path 100,k10,25,0.2593,0.5093,0.026,✅
Path 100,k15,21,0.2084,0.4104,0.030,✅
