k,lambda_critical,energy_F2,stable_rank
1,1.3333333333333333,2839.8243659478285,23.644874918255844
2,1.0,750.3899598652232,23.407238902728768
3,0.8,280.49006040904044,23.397227896912675
4,0.6666666666666666,132.02758987945742,22.34335453907054
5,0.5714285714285714,73.37941096745696,21.203010827308265
6,0.5,45.695355082731936,20.487972724555235
7,0.4444444444444444,30.713128421035805,20.101371409833828
8,0.4,21.766872339131215,19.899254562781753
9,0.36363636363636365,16.039334121721154,19.769671390422968
10,0.3333333333333333,12.181032767236815,19.635963337001854
11,0.3076923076923077,9.478548528220381,19.463887400204573
12,0.2857142857142857,7.525572667586433,19.253867302194543
13,0.26666666666666666,6.0772820323235655,19.016456829811005
14,0.25,4.979509756607629,18.76621458281689
15,0.23529411764705882,4.131635716977585,18.51971274364561
16,0.2222222222222222,3.465983243027447,18.289024908585358
17,0.21052631578947367,2.935841357073903,18.080004330620284
18,0.2,2.508233721507323,17.894294626789907
19,0.19047619047619047,2.159411533127506,17.73132384143745
20,0.18181818181818182,1.871965288305579,17.58946787295765
21,0.17391304347826086,1.632928077217436,17.46662767257508
22,0.16666666666666666,1.4325024710932195,17.360474820291113
23,0.16,1.2631889874046172,17.26849722617921
24,0.15384615384615385,1.119178738953933,17.187889157469503
25,0.14814814814814814,0.9959232808206807,17.11527082549999
26,0.14285714285714285,0.8898254291387675,17.04618765052143
27,0.13793103448275862,0.79801401181711,16.97440292425817
28,0.13333333333333333,0.7181777212175166,16.891449150526643
29,0.12903225806451613,0.6484411543501157,16.788004651144306
30,0.125,0.5872713464187307,16.658407022974515
31,0.12121212121212122,0.5334066014375872,16.504471047635228
32,0.11764705882352941,0.4858018022439844,16.333331472279788
33,0.11428571428571428,0.4435860219964641,16.152728267692453
34,0.1111111111111111,0.4060294041267983,15.968696248536911
35,0.10810810810810811,0.3725170865548197,15.78541508036111
36,0.10526315789473684,0.34252852371334236,15.605681030066634
37,0.10256410256410256,0.31562097683261325,15.431352332776454
38,0.1,0.2914162466537461,15.263658326962853
39,0.0975609756097561,0.26958994598455815,15.103399664512875
40,0.09523809523809523,0.24986277497869316,14.951077696711295
41,0.09302325581395349,0.23199338563015146,14.806979778484797
42,0.09090909090909091,0.21577251500602826,14.671236975942035
43,0.08888888888888889,0.2010181372501105,14.543864085486291
44,0.08695652173913043,0.18757143818978483,14.424787971233346
45,0.0851063829787234,0.17529345769180685,14.31386793456313
46,0.08333333333333333,0.1640622768318871,14.210910459017718
47,0.08163265306122448,0.15377065175022134,14.115679828213883
48,0.08,0.14432401545435927,14.027905567640765
49,0.0784313725490196,0.13563878406857313,13.94728728010898
50,0.07692307692307693,0.1276409160675268,13.873497143697097
51,0.07547169811320754,0.12026468259200984,13.806180053892819
52,0.07407407407407407,0.11345161457383461,13.744951048488636
53,0.07272727272727272,0.10714959851488971,13.689389155097052
54,0.07142857142857142,0.10131209769409076,13.639025973610915
55,0.07017543859649122,0.09589747956462777,13.593325816308033
56,0.06896551724137931,0.09086843334589227,13.551651406288457
57,0.06779661016949153,0.08619146446067891,13.513203621428278
58,0.06666666666666667,0.08183645463701347,13.47691295243334
59,0.06557377049180328,0.07777627827841085,13.441240336779998
60,0.06451612903225806,0.07398646718020332,13.403817507847467
